Datetime,Water Level (m)
2022-12-23 12:00:00,0.3563469
2022-12-23 13:00:00,0.33514187
2022-12-23 14:00:00,0.21359953
2022-12-23 15:00:00,0.032815747
2022-12-23 16:00:00,-0.043534964
2022-12-23 17:00:00,-0.073916934
2022-12-23 18:00:00,-0.099600255
2022-12-23 19:00:00,-0.12767556
2022-12-23 20:00:00,-0.1597188
2022-12-23 21:00:00,-0.10502636
2022-12-23 22:00:00,0.18254104
2022-12-23 23:00:00,0.39401898
2022-12-24 00:00:00,0.50404835
2022-12-24 01:00:00,0.55420065
2022-12-24 02:00:00,0.5354245
2022-12-24 03:00:00,0.4002638
2022-12-24 04:00:00,0.23657426
2022-12-24 05:00:00,0.14731915
2022-12-24 06:00:00,0.114473425
2022-12-24 07:00:00,0.07712607
2022-12-24 08:00:00,0.037469096
2022-12-24 09:00:00,-0.0043572676
2022-12-24 10:00:00,0.031779125
2022-12-24 11:00:00,0.28256416
2022-12-24 12:00:00,0.4683864
2022-12-24 13:00:00,0.5398569
2022-12-24 14:00:00,0.50219774
2022-12-24 15:00:00,0.35872856
2022-12-24 16:00:00,0.18581149
2022-12-24 17:00:00,0.109960794
2022-12-24 18:00:00,0.07175228
2022-12-24 19:00:00,0.036467217
2022-12-24 20:00:00,-0.0027975948
2022-12-24 21:00:00,-0.04143887
2022-12-24 22:00:00,0.06237977
2022-12-24 23:00:00,0.36818957
2022-12-25 00:00:00,0.56908107
2022-12-25 01:00:00,0.65451723
2022-12-25 02:00:00,0.68626726
2022-12-25 03:00:00,0.6235245
2022-12-25 04:00:00,0.45800257
2022-12-25 05:00:00,0.30828804
2022-12-25 06:00:00,0.24456207
2022-12-25 07:00:00,0.20585455
2022-12-25 08:00:00,0.16344441
2022-12-25 09:00:00,0.116557375
2022-12-25 10:00:00,0.07032363
2022-12-25 11:00:00,0.14212176
2022-12-25 12:00:00,0.39870957
2022-12-25 13:00:00,0.57368374
2022-12-25 14:00:00,0.6177753
2022-12-25 15:00:00,0.55094635
2022-12-25 16:00:00,0.3751206
2022-12-25 17:00:00,0.22472584
2022-12-25 18:00:00,0.16003537
2022-12-25 19:00:00,0.118551016
2022-12-25 20:00:00,0.0817605
2022-12-25 21:00:00,0.037015088
2022-12-25 22:00:00,0.0018309996
2022-12-25 23:00:00,0.16529672
2022-12-26 00:00:00,0.45139682
2022-12-26 01:00:00,0.6371333
2022-12-26 02:00:00,0.70583844
2022-12-26 03:00:00,0.7181195
2022-12-26 04:00:00,0.62005466
2022-12-26 05:00:00,0.43714038
2022-12-26 06:00:00,0.3111957
2022-12-26 07:00:00,0.26074016
2022-12-26 08:00:00,0.22023195
2022-12-26 09:00:00,0.17586544
2022-12-26 10:00:00,0.12483563
2022-12-26 11:00:00,0.08262234
2022-12-26 12:00:00,0.19720146
2022-12-26 13:00:00,0.44006935
2022-12-26 14:00:00,0.6026371
2022-12-26 15:00:00,0.63302064
2022-12-26 16:00:00,0.5603762
2022-12-26 17:00:00,0.37988004
2022-12-26 18:00:00,0.238472
2022-12-26 19:00:00,0.17785776
2022-12-26 20:00:00,0.13567832
2022-12-26 21:00:00,0.09691078
2022-12-26 22:00:00,0.052901953
2022-12-26 23:00:00,0.033137277
2022-12-27 00:00:00,0.25729215
2022-12-27 01:00:00,0.5093958
2022-12-27 02:00:00,0.6659308
2022-12-27 03:00:00,0.71867496
2022-12-27 04:00:00,0.71046025
2022-12-27 05:00:00,0.5813383
2022-12-27 06:00:00,0.39855343
2022-12-27 07:00:00,0.29871684
2022-12-27 08:00:00,0.25534916
2022-12-27 09:00:00,0.21457605
2022-12-27 10:00:00,0.16983753
2022-12-27 11:00:00,0.11967207
2022-12-27 12:00:00,0.091183014
2022-12-27 13:00:00,0.25347257
2022-12-27 14:00:00,0.476182
2022-12-27 15:00:00,0.61271095
2022-12-27 16:00:00,0.6242194
2022-12-27 17:00:00,0.5442313
2022-12-27 18:00:00,0.3631717
2022-12-27 19:00:00,0.23497412
2022-12-27 20:00:00,0.17998943
2022-12-27 21:00:00,0.13768886
2022-12-27 22:00:00,0.09798136
2022-12-27 23:00:00,0.05374082
2022-12-28 00:00:00,0.058289252
2022-12-28 01:00:00,0.3026114
2022-12-28 02:00:00,0.5251809
2022-12-28 03:00:00,0.6570031
2022-12-28 04:00:00,0.6916522
2022-12-28 05:00:00,0.65667516
2022-12-28 06:00:00,0.5028683
2022-12-28 07:00:00,0.33684224
2022-12-28 08:00:00,0.26501447
2022-12-28 09:00:00,0.22374079
2022-12-28 10:00:00,0.1804184
2022-12-28 11:00:00,0.1310141
2022-12-28 12:00:00,0.0797307
2022-12-28 13:00:00,0.06505771
2022-12-28 14:00:00,0.24216296
2022-12-28 15:00:00,0.45843604
2022-12-28 16:00:00,0.58509266
2022-12-28 17:00:00,0.5926605
2022-12-28 18:00:00,0.50590545
2022-12-28 19:00:00,0.3244717
2022-12-28 20:00:00,0.20104171
2022-12-28 21:00:00,0.14891447
2022-12-28 22:00:00,0.10952008
2022-12-28 23:00:00,0.07248619
2022-12-29 00:00:00,0.031247063
2022-12-29 01:00:00,0.04383505
2022-12-29 02:00:00,0.25581285
2022-12-29 03:00:00,0.46447212
2022-12-29 04:00:00,0.5838197
2022-12-29 05:00:00,0.6008725
2022-12-29 06:00:00,0.54489875
2022-12-29 07:00:00,0.37900355
2022-12-29 08:00:00,0.2379719
2022-12-29 09:00:00,0.18068393
2022-12-29 10:00:00,0.14108266
2022-12-29 11:00:00,0.101637654
2022-12-29 12:00:00,0.055711154
